,,First-pass mass,First-pass length (can be zero),"Growth margin (AIAA ""estimate"")",Mass allowance,Comments,,
Dry mass,,101,,,126.1675,,Summary,
Wet mass (inc Aquia),,298,,,309.8675,,Structure,66.1875
,,,,,,,Main propulsion,54.8375
Takeoff thrust (assumed),,15000,,,,,Avionics,3.08
Takeoff TWR,,4.934534883,,,,,Residual propellants,7.7
Burn duration,,19.8816,,,,,Recovery system,0
,,,,,,,Separation mechanism,2.0625
,,,,,,,Aquila,33
,,,,,,,Propellant load,160
System,Subsystem,,,,,,,
Structure,,52.95,,,66.1875,Google doc highlighting tank mass estimation process: https://docs.google.com/document/d/1neDRx1jHPPGRDV3DP2OXrcBaK5LJA2igdkPBdi5zxF0/edit,,
,Fuel tank endcaps,1.6,0,25,2,"Calculated assuming 0.15m hemispherical endcaps, under 20 bar pressure (material assumed to be aluminium 5051, with yield stress 193Mpa)",,
,Fuel tank cylinder,11,0.25,25,13.75,"Calculated assuming 0.15m cylindrical tank (material assumed to be aluminium 5051, with yield stress 193Mpa)",,
,Fuel tank anti-slosh devices,0.25,0,25,0.3125,,,
,Oxidiser tank endcaps,1.6,0,25,2,"Calculated assuming 0.15m hemispherical endcaps, under 20 bar pressure (material assumed to be aluminium 5051, with yield stress 193Mpa)",,
,Oxidiser cylinder,38,1.59,25,47.5,"Calculated assuming 0.15m cylindrical tank (material assumed to be aluminium 5051, with yield stress 193Mpa)",,
,Oxidiser tank anti-slosh devices,0.5,0,25,0.625,,,
,Intertank structure,,,25,0,,,
,Engine thrust structure,,,25,0,,,
,,,,,,,,
Thermal control,,0,,,0,,,
,,,,,,,,
Main propulsion,,44.75,,,54.8375,,,
,Engine jacket,16,0.5,20,19.2,Scaled WD at 15kN,,
,Nozzle,15,0.2,20,18,Scaled WD at 15kN,,
,Injector assembly,4,0.05,20,4.8,Scaled WD at 15kN,,
,Fuel feed lines,2.1,2,25,2.625,"1.8kg/s (1.8L/s) with 1m length = 12.5mm pipe for 1.8 bar loss, 3mm wall thickness",,
,Fuel valves,0.7,0,25,0.875,"1/2"" 2009D ball valve with AGFRC servo (pushing it for 1.8 kg/s)",,
,Oxidiser feed lines,1.6,2,25,2,"6.3kg/s (8L/s) with 2m length = 1"" pipe with 1.8 bar loss, 3mm wall thickness",,
,Oxidiser valves,1.3,0,25,1.625,"1"" 2009D ball valve with SHV800 servo (pushing it for 6.3 kg/s)",,
,Engine instrumentation,0.7,0,75,1.225,"4 PTs at 150g each, 2 temperature sensors at 50g each",,
,Pressurant tank,,,25,0,,,
,Pressurant feed lines,0.75,2.5,25,0.9375,"5mm lines, combined 5m length, 1mm wall thickness",,
,Pressurant valves,,,25,0,,,
,Pressurant instrumentation,0.2,0,75,0.35,"1 PT, 1 temperature sensor",,
,Fuel tank instrumentation,0.2,0,75,0.35,"1 PT, 1 temperature sensor",,
,Oxidiser tank instrumentation,0.2,0,75,0.35,"1 PT, 1 temperature sensor",,
,"Fill, drain, vent lines",1,0,25,1.25,"Assumed to be plumbed into main propellant lines, hence fairly light",,
,"Fill, drain, vent valves",1,0,25,1.25,"0.1 kg for each relief valve, 0.5 kg for each solenoid - quantities tbd, quick disconnects not specced",,
,,,,,,,,
Thrust vector control,,0,,,0,,,
,,,,,,,,
Reaction control system,,0,,,0,,,
,,,,,,,,
Secondary power,,0,,,0,,,
,,,,,,,,
Avionics,,1.8,,,3.08,,,
,"Guidance, navigation and control",0.1,0,35,0.135,,,
,Data management,0.1,0,35,0.135,,,
,"Telemetry, tracking and command",0.1,0,35,0.135,,,
,Command and data handling,0.1,0,35,0.135,,,
,Batteries,0.3,0,35,0.405,,,
,Electrical power system,0.1,0,35,0.135,,,
,Wiring harnesses,1,3,100,2,,,
,,,,,,,,
Range safety and abort,,0,,,0,,,
,,,,,,,,
Fluids,,167,,,183.7,,,
,Impulse fuel,40,,10,44,,,
,Residual fuel,2,,10,2.2,,,
,Impulse propellant,120,,10,132,,,
,Residual propellant,5,,10,5.5,,,
,Pressurisation gas,,,10,0,,,
,Residual pressurisation gas,,,50,0,,,
,,,,,,,,
Recovery system,,0,,,0,,,
,Main parachute,,,25,0,,,
,Drogue parachute,,,25,0,,,
,Main parachute actuation,,,50,0,,,
,Drogue parachute actuation,,,50,0,,,
,,,,,,,,
Separation mechanism,,1.5,,,2.0625,,,
,Aquila ignition ,0.25,,100,0.5,,,
,Mechanical holddown,0.5,,25,0.625,,,
,Structure,0.5,,25,0.625,,,
,Airshell,0.25,,25,0.3125,,,
,,,,,,,,
Aero surfaces,,0,,,0,,,
,Fins,,,25,0,,,
,Boattail,,,25,0,,,
,,,,,,,,
Aquila,,30,,,33,,,
,Aquila,30,,10,33,,,
